text,true,pred,length
serving sara does n't serve up a whole lot of laughs .,1,0,11
"ah yes , and then there 's the music ...",2,0,9
"with rabbit-proof fence , noyce has tailored an epic tale into a lean , economical movie .",3,2,14
a stunning and overwhelmingly cogent case for kissinger as a calculating war criminal .,2,4,13
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .,0,1,23
"the messages of compassion and mercy are clearly , squarely and specifically expounded via computer animated old testament tale of jonah and the whale .",2,3,23
"add yet another hat to a talented head , clooney 's a good director .",4,3,13
as unseemly as its title suggests .,3,1,6
"the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",4,1,22
"-lrb- lawrence bounces -rrb- all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .",3,1,28
"as befits its title , this pg-13-rated piffle is ultimately as threatening as the snuggle fabric softener bear .",2,1,17
"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners .",4,3,26
a workshop mentality prevails .,2,1,4
this remake gets all there is to get out of a peculiar premise with promise : al pacino loathing robin williams .,2,1,20
"writer-director 's mehta 's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres .",4,3,24
"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks .",1,0,29
"this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against .",0,1,24
to call the other side of heaven `` appalling '' would be to underestimate just how dangerous entertainments like it can be .,1,2,22
"the actors are appealing , but elysian fields is idiotic and absurdly sentimental .",2,3,12
"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience .",3,4,19
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .,0,3,14
lapaglia 's ability to convey grief and hope works with weaver 's sensitive reactions to make this a two-actor master class .,3,4,21
my thoughts were focused on the characters .,3,0,7
should have been someone else -,1,0,5
"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .",0,1,33
indifferently implausible popcorn programmer of a movie .,1,2,7
it 's fascinating to see how bettany and mcdowell play off each other .,3,1,13
teen movies have really hit the skids .,1,3,7
"i felt sad for lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier , by rohmer , for example .",2,1,33
"stephen rea , aidan quinn , and alan bates play desmond 's legal eagles , and when joined by brosnan , the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing , ` tis .",4,3,34
"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure .",1,3,16
"every time you look , sweet home alabama is taking another bummer of a wrong turn .",1,2,15
"it gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right .",3,4,26
"i 'm sure if you 're a hartley fan , you might enjoy yourself ... me , i did n't care for it .",2,1,21
"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .",4,1,21
"even if you do n't think -lrb- kissinger 's -rrb- any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .",3,2,31
"... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should know .",3,4,26
"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater .",1,3,26
the film 's few ideas are stretched to the point of evaporation ; the whole central section is one big chase that seems to have no goal and no urgency .,0,1,29
"scorsese at his best makes gangster films that are equally lovely but also relentlessly brutal and brutally intelligent ; perdition , meanwhile , reads more like driving miss daisy than goodfellas .",2,4,28
"though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining .",1,0,35
"woody allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz .",3,4,23
"there 's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging .",1,0,26
at all .,2,1,2
there can be no other explanation .,2,1,6
"by the time we learn that andrew 's turnabout is fair play is every bit as awful as borchardt 's coven , we can enjoy it anyway .",2,1,26
attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience .,1,0,18
"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",3,1,15
"it is amusing , and that 's all it needs to be .",4,1,11
what time is it there ?,2,3,6
the characters are interesting and often very creatively constructed from figure to backstory .,4,3,13
a taut psychological thriller that does n't waste a moment of its two-hour running time .,3,0,15
michael gerbosi 's script is economically packed with telling scenes .,4,1,10
what was once original has been co-opted so frequently that it now seems pedestrian .,1,0,14
"at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .",4,3,33
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave .",1,2,27
"partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show .",0,1,22
"bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first .",4,3,25
"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .",4,3,26
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",3,0,27
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,4,2,27
"slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ?",0,2,41
"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .",1,2,22
it 's so good that you can practically see the hollywood ` suits ' trying to put together the cast and filmmaking team for the all-too - inevitable american remake .,2,0,27
a delightful coming-of-age story .,3,4,4
binoche makes it interesting trying to find out .,4,3,8
"the humor is forced and heavy-handed , and occasionally simply unpleasant .",1,0,10
"a beguiling , slow-moving parable about the collision of past and present on a remote seacoast in iran .",2,3,17
kept aloft largely by a comically adept ensemble .,2,1,8
"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater .",4,3,32
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .",4,3,21
director uwe boll and the actors provide scant reason to care in this crude '70s throwback .,1,0,16
"claude chabrol has here a thriller without thrills , but that 's okay .",2,3,12
unflinchingly bleak and desperate,1,0,4
like mike is n't interested in recycling old cliches .,2,1,9
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .",3,2,21
"the film 's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .",2,3,31
"no one goes unindicted here , which is probably for the best .",2,1,11
"creepy , authentic and dark .",2,3,4
"uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions .",1,2,24
as vulgar as it is banal .,1,0,6
it uses the pain and violence of war as background material for color .,2,1,13
84 minutes of rolling musical back beat and supercharged cartoon warfare .,2,3,11
"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .",4,3,43
"of course , by more objective measurements it 's still quite bad .",1,3,11
"for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal .",3,1,22
"scores no points for originality , wit , or intelligence .",0,2,8
it 's a charming and often affecting journey .,4,3,8
nervous breakdowns are not entertaining .,1,2,5
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .",3,1,43
"we know the plot 's a little crazy , but it held my interest from start to finish .",3,2,17
"lan yu is at times too restrained , yet there are moments it captures the erotics of intimacy in a way that makes most american love stories look downright unfree .",2,3,29
will amuse and provoke adventurous adults in specialty venues .,4,3,9
"another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better .",3,1,29
"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .",3,1,22
it 's unnerving to see recoing 's bizzarre reaction to his unemployment .,2,3,12
"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .",0,1,20
"offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm .",1,0,20
"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .",3,1,26
almost gags on its own gore .,0,2,6
"the film is quiet , threatening and unforgettable .",4,3,7
... the movie is just a plain old monster .,0,1,9
likely to expertly drum up repressed teenage memories in any viewer .,2,3,11
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos .",1,3,22
i 'll bet the video game is a lot more fun than the film .,1,2,14
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable .,1,2,19
"minority report is exactly what the title indicates , a report .",3,0,10
"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well .",4,1,29
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .,0,2,21
"-lrb- e -rrb- ventually , every idea in this film is flushed down the latrine of heroism .",1,0,16
"denis o'neill 's script avoids the prime sports cliche , a last-second goal to win the championship , but it neglects few others .",2,3,21
forgettable horror -- more gory than psychological -- with a highly satisfying quotient of friday-night excitement and milla power .,2,4,19
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .,1,3,24
"first-time writer-director serry shows a remarkable gift for storytelling with this moving , effective little film .",3,4,15
"while it 's genuinely cool to hear characters talk about early rap records -lrb- sugar hill gang , etc. -rrb- , the constant referencing of hip-hop arcana can alienate even the savviest audiences .",1,3,31
-lrb- leigh -rrb- lays it on so thick this time that it feels like a suicide race .,2,1,17
"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .",3,4,29
there 's no emotional pulse to solaris .,1,0,7
a cheerful enough but imminently forgettable rip-off of -lrb- besson 's -rrb- earlier work .,2,1,14
the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it .,1,2,26
"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters",3,2,14
"sometimes it feels as if it might have been made in the '70s or '80s , and starred chevy chase and goldie hawn .",2,0,22
"essentially an exceptionally well-written , well-edited , well-directed , well-acted , bald rip-off of aliens .",2,4,11
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .",4,2,25
a woman 's pic directed with resonance by ilya chaiken .,3,2,10
"mr. tsai is a very original artist in his medium , and what time is it there ?",4,3,17
the intent is almost exactly the same -lrb- as the full monty -rrb- .,2,1,13
"a lackluster , unessential sequel to the classic disney adaptation of j.m. barrie 's peter pan .",0,2,15
why make a documentary about these marginal historical figures ?,0,1,10
the idea of 49-year-old roberto benigni playing the wooden boy pinocchio is scary enough .,2,1,14
oh come on .,1,3,3
generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,2,3,20
its well of thorn and vinegar -lrb- and simple humanity -rrb- has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks .,1,4,28
the notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,0,3,20
"and the lesson , in the end , is nothing new .",1,2,9
mom and dad can catch some quality naptime along the way .,2,1,11
slick piece of cross-promotion .,3,4,4
"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises",4,3,13
a literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .,4,3,16
"for the first time in years , de niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",3,4,24
"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving .",3,4,24
"if you 're hard up for raunchy college humor , this is your ticket right here .",3,1,15
"highbrow self-appointed guardians of culture need not apply , but those who loved cool as ice have at last found a worthy follow-up .",3,2,22
"once -lrb- kim -rrb- begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard .",1,2,29
"-lrb- t -rrb- his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why .",3,1,30
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance .",0,1,18
"it 's a cookie-cutter movie , a cut-and-paste job .",1,4,8
"fun , flip and terribly hip bit of cinematic entertainment .",3,0,9
just one bad idea after another .,1,0,6
it 's a lovely film with lovely performances by buy and accorsi .,3,4,12
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow .",1,3,14
this is her blue lagoon .,2,4,5
a hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap shot across the mason-dixon line .,1,4,20
remember the kind of movie we were hoping `` ecks vs. sever '' or `` xxx '' was going to be ?,2,1,22
it 's a buggy drag .,1,0,5
"i ca n't say that i liked homeboy ; it 'd be more accurate to say that i found it intriguing , bizarre , dogma-like in spots - and quite truthful , in its way .",2,3,30
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .,1,0,16
"like all abstract art , the film does not make this statement in an easily accessible way , and -- unless prewarned -- it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all .",2,0,46
manages to show life in all of its banality when the intention is quite the opposite .,1,3,16
"it 's about following your dreams , no matter what your parents think .",3,2,12
one from the heart .,3,4,4
"and when you 're talking about a slapstick comedy , that 's a pretty big problem .",0,2,15
ahhhh ... revenge is sweet !,3,2,6
"against all odds in heaven and hell , it creeped me out just fine .",3,4,13
"the entire movie is about a boring , sad man being boring and sad .",1,0,13
it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them .,3,2,21
"as a tolerable diversion , the film suffices ; a triumph , however , it is not .",2,1,13
the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned .,3,1,30
"whether writer-director anne fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .",3,1,36
"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .",0,2,26
"one of the more irritating cartoons you will see this , or any , year .",0,4,13
basically a static series of semi-improvised -lrb- and semi-coherent -rrb- raps between the stars .,1,2,14
"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking .",0,1,36
"a very long movie , dull in stretches , with entirely too much focus on meal preparation and igloo construction .",0,1,18
"some of it is clever , but it is never melodic \/",2,1,11
"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",4,3,13
"although there are several truly jolting scares , there 's also an abundance of hackneyed dialogue and more silly satanic business than you can shake a severed limb at .",2,0,28
not nearly long enough .,2,1,4
"so much facile technique , such cute ideas , so little movie .",3,1,10
"chilling , well-acted , and finely directed : david jacobson 's dahmer .",3,2,9
columns from ladies home journal ...,2,3,6
a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda .,3,4,21
"once the 50 year old benigni appears as the title character , we find ourselves longing for the block of wood to come back .",1,0,23
"on the bright side , it contains jesse ventura 's best work since the xfl .",2,4,14
"but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck .",3,2,19
at least one scene is so disgusting that viewers may be hard pressed to retain their lunch .,1,0,17
"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate\/surf culture , the l.a. beach scene and the imaginative -lrb- and sometimes illegal -rrb- ways kids can make a playground out of the refuse of adults .",4,2,42
should be seen at the very least for its spasms of absurdist humor .,2,0,13
"much as we might be interested in gratuitous sexualization , haneke has a different objective in mind -- namely the implications of our craving for fake stimulation .",2,3,26
for aids and africa are nothing more than part of the scenery .,2,3,12
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,1,3,21
trademark american triteness and simplicity are tossed out the window with the intelligent french drama that deftly explores the difficult relationship between a father and son .,3,2,26
who needs love like this ?,2,1,6
"there 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .",3,0,24
and that leaves a hole in the center of the salton sea .,1,3,12
"although jackson is doubtless reserving the darkest hours for the return of the king , we long for a greater sense of urgency in the here and now of the two towers .",2,3,31
director andrew niccol ... demonstrates a wry understanding of the quirks of fame .,3,4,13
"shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere .",1,2,22
"utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film .",1,0,16
what better message than ` love thyself ' could young women of any size receive ?,3,2,14
if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .,4,3,15
"may not have generated many sparks , but with his affection for astoria and its people he has given his tale a warm glow .",2,3,23
"it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication -lrb- and who knew they even had any ? -rrb- .",0,1,35
"prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , jagger obviously relishes every self-mocking moment .",2,3,23
there 's not enough here to justify the almost two hours .,1,2,11
"although huppert 's intensity and focus has a raw exhilaration about it , the piano teacher is anything but fun .",1,4,19
"a gripping , searing portrait of a lost soul trying to find her way through life .",2,3,15
nothing is sacred in this gut-buster .,1,0,6
... nothing scary here except for some awful acting and lame special effects .,1,0,13
it made me want to wrench my eyes out of my head and toss them at the screen .,1,0,18
"but the power of these -lrb- subjects -rrb- is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative .",0,3,41
a delirious celebration of the female orgasm .,2,4,7
reign of fire looks as if it was made without much thought -- and is best watched that way .,3,2,19
"without the dark spookiness of crystal lake camp , the horror concept completely loses its creepy menace .",2,1,16
"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors .",4,1,28
like you could n't smell this turkey rotting from miles away .,0,1,11
involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters .,0,2,21
"the plot combines the blues brothers and almost famous -lrb- but with bears , and a g rating -rrb- , with an excruciating dollop of disney sentimentality mixed in for good measure .",2,3,30
i 'd have to say the star and director are the big problems here .,1,3,14
"-lrb- director -rrb- o'fallon manages to put some lovely pictures up on the big screen , but his skill at telling a story -- he also contributed to the screenplay -- falls short .",0,3,32
the film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people .,2,1,20
"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .",1,2,25
"it believes it 's revealing some great human truths , when , in reality , it 's churning ground that has long passed the point of being fertile .",2,3,25
old-form moviemaking at its best .,4,2,5
a sometimes tedious film .,1,0,4
"whenever its story is n't bogged down by idiocy involving the cia and a lost u.s. satellite , hunter -- starring irwin and his american wife\/colleague , terri -- is a movie children should enjoy .",2,1,33
"a gorgeous , witty , seductive movie .",3,4,5
late marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep u.s. viewers off their feet .,1,0,18
it all drags on so interminably it 's like watching a miserable relationship unfold in real time .,0,1,17
"the french are rather good at this kind of thing , unlike the americans , who have a passion for musketeers , only to spoof them .",2,1,23
"nasty , ugly , pointless and depressing , even if you hate clowns .",2,0,10
it wants to tweak them with a taste of tangy new humor .,3,1,12
which is n't to say that it 's the equal of some of its predecessors .,2,1,15
an unclassifiably awful study in self - and audience-abuse .,0,1,8
comes ... uncomfortably close to coasting in the treads of the bicycle thief .,1,2,13
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .,4,2,19
"if you 're a wwf fan , or you related to the people who watched the robots getting butchered in a.i. , you 'll probably like rollerball .",2,1,25
the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .,1,0,35
"expect the same-old , lame-old slasher nonsense , just with different scenery .",0,1,10
"the whole is quite entertaining , but despite its virtues , there is an unsettled feeling to the film .",2,3,17
the film 's snags and stumblings are more than compensated for by its wryly subversive tone .,2,1,16
barely gets off the ground .,2,0,5
"i still ca n't relate to stuart : he 's a mouse , for cryin ' out loud , and all he does is milk it with despondent eyes and whine that nobody treats him human enough .",2,3,33
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .,1,0,19
a movie with a real anarchic flair .,3,4,7
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .,0,3,13
"maneuvers skillfully through the plot 's hot brine -- until it 's undone by the sogginess of its contemporary characters , and actors .",2,1,22
a thinly veiled look at different aspects of chinese life clashing with each other .,2,3,14
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .",4,3,19
"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut .",1,3,33
it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one .,1,2,19
zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast .,3,4,16
pumpkin wants to have it both ways .,2,1,7
"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .",3,4,40
"-lrb- chaiken 's -rrb- talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters .",3,4,26
"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana .",4,2,26
"it 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",3,4,20
"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away .",0,1,12
"less dizzying than just dizzy , the jaunt is practically over before it begins .",1,0,13
intriguing documentary which is emotionally diluted by focusing on the story 's least interesting subject .,3,2,15
the son 's room is a triumph of gentility that earns its moments of pathos .,3,2,15
"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers .",1,3,19
"it 's clear the filmmakers were n't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination .",1,0,31
"this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again .",1,2,21
manages to be both repulsively sadistic and mundane .,0,3,8
"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past .",4,3,22
"the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan 's madness .",3,1,30
"this is an egotistical endeavor from the daughter of horror director dario argento -lrb- a producer here -rrb- , but her raw performance and utter fearlessness make it strangely magnetic .",3,4,29
there are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness .,4,3,16
"an interesting story with a pertinent -lrb- cinematically unique -rrb- message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . ''",3,4,33
"weaves a spell over you , with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger .",2,3,19
a momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .,2,3,19
the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second .,1,3,25
hilariously inept and ridiculous .,3,0,4
"vera 's three actors -- mollà , gil and bardem -- excel in insightful , empathetic performances .",4,3,15
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .",1,0,24
"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences .",3,4,16
the performances take the movie to a higher level .,4,3,9
"some of their jokes work , but most fail miserably and in the end , pumpkin is far more offensive than it is funny .",1,2,22
chokes on its own depiction of upper-crust decorum .,1,2,8
"would n't one about their famous dad , author of death in venice , etc. , be more valuable ?",2,1,17
"despite impeccable acting ... and a script that takes some rather unexpected -lrb- even , at times , preposterous -rrb- turns , love is just too , too precious in the end .",2,0,28
collateral damage finally delivers the goods for schwarzenegger fans .,3,2,9
part three stooges .,2,3,3
"still , as a visual treat , the film is almost unsurpassed .",4,3,10
"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it .",0,1,19
"complete lack of originality , cleverness or even visible effort",1,0,9
"while it 's nice to watch a movie that has n't been focus-grouped into tedium , yu 's cinematic alchemy produces nearly as much lead as gold .",2,1,26
"returning aggressively to his formula of dimwitted comedy and even dimmer characters , sandler , who also executive produces , has made a film that makes previous vehicles look smart and sassy .",2,3,29
zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight .,1,3,22
"not only are the special effects and narrative flow much improved , and daniel radcliffe more emotionally assertive this time around as harry , but the film conjures the magic of author j.k. rowling 's books .",4,1,34
"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence .",3,4,27
"the film is a contrivance , as artificial as the video games japanese teens play in a nightclub sequence , but it 's an enjoyable one .",2,3,24
"if the count of monte cristo does n't transform caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",2,1,27
jaglom ... put -lrb- s -rrb- the audience in the privileged position of eavesdropping on his characters,3,1,17
"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others .",3,2,20
"the so-inept - it 's - surreal dubbing -lrb- featuring the voices of glenn close , regis philbin and breckin meyer -rrb- brings back memories of cheesy old godzilla flicks .",0,3,27
it 's everything you do n't go to the movies for .,0,2,11
"mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity .",0,1,12
"the twist that ends the movie is the one with the most emotional resonance , but twists are getting irritating , and this is the kind of material where the filmmakers should be very careful about raising eyebrows .",2,1,36
a compelling spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .,3,4,26
"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority .",3,2,32
"whereas last year 's exemplary sexy beast seemed to revitalize the british gangster movie , this equally brutal outing merely sustains it .",2,4,21
bad .,1,0,1
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .,3,2,16
"it 's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .",2,3,15
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation .,3,2,20
"an unpredictable blend of gal-pal smart talk , romantic comedy and dark tragedy that bites off considerably more than writer\/director john mckay can swallow .",2,3,23
"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",4,3,18
"a cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore .",3,4,27
"an operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .",3,4,20
"i 've always dreamed of attending cannes , but after seeing this film , it 's not that big a deal .",1,2,19
and i 've decided to leave a light on every night from now on .,2,3,14
"the stripped-down approach does give the film a certain timeless quality , but the measured pace and lack of dramatic inflection can also seem tedious .",2,0,24
it conveys a simple message in a visual style that is willfully overwrought .,2,1,13
rarely has leukemia looked so shimmering and benign .,1,0,8
we have n't seen such hilarity since say it is n't so !,4,1,13
how do you spell cliché ?,0,2,6
"manages to be somewhat well-acted , not badly art-directed and utterly unengaging no matter how hard it tries to be thrilling , touching or , yikes , uproarious .",2,3,24
the only excitement comes when the credits finally roll and you get to leave the theater .,0,1,16
"maud and roland 's search for an unknowable past makes for a haunting literary detective story , but labute pulls off a neater trick in possession : he makes language sexy .",4,3,29
just an average comedic dateflick but not a waste of time .,2,1,11
vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them .,1,2,20
"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking .",2,0,16
"if i had been thinking about the visual medium , they would have been doing something wrong .",2,1,16
a sequence of ridiculous shoot - 'em - up scenes .,1,2,8
it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel .,3,0,22
